thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled,year_x,month_x,pct_change,anom_iqr_units,out_pct,is_event_month,year_y,month_y,lb_m,ub_m,luu_luong_den_ho_m3_s_capped_x,luu_luong_den_ho_m3_s_capped_roll_mean_6h,luu_luong_den_ho_m3_s_capped_roll_mean_24h,luu_luong_den_ho_m3_s_capped_roll_mean_72h,luu_luong_den_ho_m3_s_capped_roll_mean_168h,luu_luong_den_ho_m3_s_capped_roll_std_24h,luu_luong_den_ho_m3_s_capped_roll_std_168h,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_y,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich
2023-11-08 19:00:00,Hòa Bình,116.8,1646.0,1069.0,0.0,1069.0,116.8,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1646.0,826.6666666666666,1357.0416666666667,955.0833333333334,888.625,584.2921008005434,681.828307251073,361.0,72.0,258.0,1285.0,1574.0,1388.0,1514.0,845.5,800.5,0.7472578763127188,0.7998263888888889,7.40671073017764,1646.0,0,0,0,1
2023-11-08 20:00:00,Hòa Bình,116.82,1818.0,671.0,0.0,671.0,116.82,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1818.0,1051.0,1376.0833333333333,955.6388888888888,887.5833333333334,591.8248063821057,680.2628711404855,172.0,1346.0,457.0,1646.0,472.0,1361.0,1778.0,845.5,972.5,0.9078179696616102,0.8496527777777778,7.506042178518122,1818.0,0,0,0,1
2023-11-08 21:00:00,Hòa Bình,116.83,1252.0,675.0,0.0,675.0,116.83,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1252.0,1162.6666666666667,1383.2916666666667,950.4166666666666,883.672619047619,589.0963218771757,676.2323104443539,-566.0,670.0,173.0,1818.0,582.0,1079.0,1628.0,845.5,406.5,0.379463243873979,0.6763888888888889,7.133295954896068,1252.0,0,0,0,1
2023-11-08 22:00:00,Hòa Bình,116.84,1354.0,777.0,0.0,777.0,116.84,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1354.0,1328.0,1410.1666666666667,943.0,880.2916666666666,571.445434016156,672.419069806265,102.0,992.0,645.0,1252.0,362.0,709.0,1888.0,845.5,508.5,0.4746791131855309,0.7100694444444444,7.2115567333138015,1354.0,0,0,0,1
2023-11-08 23:00:00,Hòa Bình,116.85,1159.0,582.0,0.0,582.0,116.85,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1159.0,1419.0,1439.875,935.1944444444443,882.0178571428571,536.6130751214012,672.7620560869584,-195.0,546.0,713.0,1354.0,613.0,446.0,1721.0,845.5,313.5,0.2926487747957993,0.6302083333333334,7.05617528410041,1159.0,0,0,0,1
2023-11-09 00:00:00,Hòa Bình,116.86,1022.0,445.0,0.0,445.0,116.86,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1022.0,1375.1666666666667,1440.3333333333333,936.3472222222222,885.3511904761905,536.2354014768547,672.0554772855241,-137.0,-263.0,11.0,1159.0,1285.0,1011.0,939.0,845.5,176.5,0.1647607934655776,0.5815972222222222,6.930494765951626,1022.0,0,0,0,1
2023-11-09 01:00:00,Hòa Bình,116.89,2162.0,445.0,0.0,445.0,116.89,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,2162.0,1461.1666666666667,1440.75,954.1388888888888,895.9107142857143,536.8159955174774,678.1037388210458,1140.0,516.0,10.0,1022.0,1646.0,2152.0,881.0,845.5,1316.5,1.2289381563593933,0.9128472222222224,7.679251425953058,2162.0,0,0,0,1
2023-11-09 02:00:00,Hòa Bình,116.93,2242.0,525.0,0.0,525.0,116.93,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,2242.0,1531.8333333333333,1444.25,980.7222222222222,901.4940476190476,541.9450678082432,685.3073264608264,80.0,424.0,84.0,2162.0,1818.0,2158.0,328.0,845.5,1396.5,1.3036172695449242,0.9244791666666666,7.715569534520208,2242.0,0,0,0,1
2023-11-09 03:00:00,Hòa Bình,116.96,2423.0,706.0,0.0,706.0,116.96,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,2423.0,1727.0,1455.0,1008.9861111111112,913.9642857142856,559.1491984138927,693.817279893295,181.0,1171.0,258.0,2242.0,1252.0,2165.0,388.0,845.5,1577.5,1.4725787631271878,0.9440972222222224,7.793174347189205,2423.0,0,0,0,1
2023-11-09 04:00:00,Hòa Bình,116.98,1960.0,813.0,0.0,813.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1960.0,1828.0,1469.875,1029.8194444444443,925.065476190476,567.9371759882492,695.5532338192536,-463.0,606.0,357.0,2423.0,1354.0,1603.0,460.0,845.5,1114.5,1.0403733955659276,0.8845486111111112,7.581209826196346,1960.0,0,0,0,1
